Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,Homework This Day:
Sunday,DAY,8,/27,0:00,0:00,1,PHYS350,15,0:30:00,7:30:00,3:07:00,4:23:00,6.81%,PHYS350,1,1,0.00
Monday,DAY,8,/28,0:00,0:00,2,MATH401,15,0:30:00,7:30:00,5:01:00,2:29:00,10.96%,MATH401,2,2,0.00
Tuesday,DAY,8,/29,0:00,2:03,3,ENG301,15,0:30:00,7:30:00,12:09:00,-4:39:00,26.55%,ENG301,3,3,0.09
ENG301,Read Crucible Prose Introduction (08.31),9:50,9:55,0:05,0:00,4,PHIL250,15,0:30:00,7:30:00,4:55:00,2:35:00,10.74%,PHIL250,3,4,0.05
MATH401,Borrow Single Variable Calc Textbook,15:30,15:45,0:15,0:00,5,CHIN301,15,0:30:00,7:30:00,8:09:00,-0:39:00,17.81%,CHIN301,3,5,0.01
HIST301,Borrow US-Narrative History Textbook,15:30,15:45,0:15,0:00,6,SOM,15,0:30:00,7:30:00,0:00:00,7:30:00,0.00%,SOM,3,6,0.01
ENG301,Read Crucible Prose Introduction (08.31),16:16,16:23,0:07,0:00,7,HIST301,14,0:30:00,7:00:00,11:39:00,-4:39:00,25.46%,HIST301,3,7,0.00
PHIL250,Read Minsky on Consciousness (09.06),16:37,16:49,0:12,0:00,8,CS220,14,0:30:00,7:00:00,0:46:00,6:14:00,1.68%,CS220,3,8,0.03
PHIL250,Read Minsky on Consciousness (09.06),17:53,18:22,0:29,0:00,9,QUEST,1,40:00:00,40:00:00,0:00:00,40:00:00,0.00%,QUEST,3,9,0.06
ENG301,Read Crucible Acts I and II (09.05),20:50,21:30,0:40,0:00,Totals:,,,,59:00:00,45:46:00,13:14:00,100.00%,,3,10,0.04
Wednesday,DAY,8,/30,0:00,1:13,,,,,,,,,,4,11,0.09
HIST301,Read USANH textbook p. 3-14 (08.31),8:48,9:20,0:32,0:00,,Day of Week:,Time:,,,,,,,4,12,0.08
ENG301,Read Crucible Acts I and II (09.05),9:22,9:48,0:26,0:00,,Monday,7:58,,,,,,,4,13,0.00
ENG301,Read Crucible Acts I and II (09.05),17:45,18:00,0:15,0:00,,Tuesday,10:07,,,,,,,4,14,0.02
Thursday,DAY,8,/31,0:00,0:15,,Wednesday,8:40,,,,,,,5,15,0.02
ENG301,Read Crucible Acts I and II (09.05),17:45,18:00,0:15,0:00,,Thursday,5:33,,,,,,,5,16,0.07
Friday,DAY,9,/01,0:00,0:14,,Friday,2:58,,,,,,,6,17,0.03
HIST301,Read 1491 and Megadeath,7:50,8:04,0:14,0:00,,Saturday,4:19,,,,,,,6,18,0.06
Saturday,DAY,9,/02,0:00,0:03,,Sunday,6:35,,,,,,,7,19,0.01
HIST301,Read 1491 and Megadeath,17:28,17:31,0:03,0:00,,,,,,,,,,7,20,0.04
Sunday,DAY,9,/03,0:00,0:48,,,,,,,,,,8,21,0.00
HIST301,Read 1491 and Megadeath,17:00,17:41,0:41,0:00,,,,,,,,,,8,22,0.00
HIST301,Read 1491 and Megadeath,19:57,20:04,0:07,0:00,,,,,,,,,,8,23,0.08
Monday,DAY,9,/04,0:00,1:24,,,,,,,,,,9,24,0.03
MATH401,Limits Problem Set,11:10,11:53,0:43,0:00,,,,,,,,,,9,25,0.05
PHYS350,Watch Electrostatics Video,14:58,15:14,0:16,0:00,,,,,,,,,,9,26,0.06
PHYS350,Coulomb's Law Practice Problems,15:17,15:42,0:25,0:00,,,,,,,,,,9,27,0.01
Tuesday,DAY,9,/05,0:00,0:55,The Week Ahead: (Schedule):,,,,,,,,,10,28,0.08
CS220,Create a Class,15:10,15:31,0:21,0:00,Monday:,,,,,,,,,10,29,0.10
PHIL250,Write up Consciousness Questions,15:40,16:14,0:34,0:00,Tuesday:,,,,,,,,,10,30,0.09
Wednesday,DAY,9,/06,0:00,2:08,Wednesday:,,,,,,,,,11,31,0.17
HIST301,Columbian Exchange Mini-Project,8:59,9:28,0:29,0:00,Thursday:,,,,,,,,,11,32,0.04
MATH401,Algebraic Limits,16:05,16:34,0:29,0:00,Friday:,,,,,,,,,11,33,0.04
PHYS350,Harder Coulomb's Law Problems,16:37,16:57,0:20,0:00,,,,,,,,,,11,34,0.01
HIST301,Columbian Exchange Mini-Project,17:40,18:20,0:40,0:00,"TODO: Write 50 more essays, cry, repeat (oh worm?)",,,,,,,,,11,35,0.03
PHYS350,Harder Coulomb's Law Problems,18:58,19:08,0:10,0:00,,,,,,,,,,11,36,0.03
Thursday,DAY,9,/07,0:00,2:02,,,,,,,,,,12,37,0.03
ENG301,Read Crucible Act 3,16:33,17:10,0:37,0:00,,,,,,,,,,12,38,0.07
PHIL250,Nagel- What's it like to be a bat?,19:10,19:44,0:34,0:00,,,,,,,,,,12,39,0.07
