Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,Homework This Day:
Saturday,DAY,9,/9,0:00,0.22,1,FA130,15,0:30:00,7:30:00,0:25:00,7:05:00,1.28%,FA130,1,1,0.22
FA130,Introduction to Color Theory reading,14:35:00,14:50,0:15,0.00,2,EFD210,15,0:30:00,7:30:00,0:35:00,6:55:00,1.79%,EFD210,1,2,0.00
EFD210,30: Set up interviews,15:00,15:30,0:30,0,3,HIST301,15,0:30:00,7:30:00,4:11:59,3:18:01,12.92%,HIST301,1,3,0.00
MATH301,60: Puzzle write-up,13:22,16:20,2:58,0,4,MATH301,15,0:30:00,7:30:00,6:06:00,1:24:00,18.76%,MATH301,1,4,0.00
BIO310,20: Read and copy lab protocol,11:28,11:55,0:27,0.00,5,BIO310,15,0:30:00,7:30:00,5:59:00,1:31:00,18.40%,BIO310,1,5,0.00
BIO310,20: Rewrite notebook unit 2 pp 2-3,23:00,23:11,0:11,0,6,SOM11,15,0:30:00,7:30:00,0:05:00,7:25:00,0.26%,SOM11,1,6,0.00
BIO310,30: Scan unit 2 pp 45-60 text,18:46,19:07,0:21,0,7,SPAN501,14,0:30:00,7:00:00,9:54:00,-2:54:00,30.45%,SPAN501,1,7,0.00
SOM11,5 minutes of observation,14:30,14:35,0:05,0.00,8,ENG301,14,0:30:00,7:00:00,5:15:00,1:45:00,16.15%,ENG301,1,8,0.00
Monday,DAY,9,/11,0:14,0,9,QUEST,1,40:00:00,40:00:00,0:00:00,40:00:00,0.00%,QUEST,1,9,0.00
BIO310,Review test corrections unit 1,,,0:11,0.00,Totals:,,,,59:00:00,32:30:59,26:29:01,100.00%,,1,10,0.00
BIO310,Rewrite pages 2 and 3,,,0:00,0,,,,,,,,,,1,11,0.00
ENG301,Act III Crucible,8:20,8:45,0:00,0.00,,Day of Week:,Time:,,,,,,,2,12,0.00
SPAN501,"10: Reread ""Online""",19:42,19:56,0:00,0,,Monday,#REF!,,,,,,,2,13,0.00
SPAN501,"7: Backside of ""Online"" handout",20:04,20:15,0:00,0,,Tuesday,#REF!,,,,,,,2,14,0.00
QUEST,Prepare ideas to present to Barry,,,0:00,0.00,,Wednesday,#REF!,,,,,,,2,15,0.00
Tuesday,DAY,9,/12,0:00,#REF!,,Thursday,#REF!,,,,,,,#REF!,16,0.00
MATH301,PP Stats 1,22:07,22:37,0:00,#REF!,,Friday,#REF!,,,,,,,#REF!,17,0.00
ENG301,Play Pitch,21:32,21:42,0:00,#REF!,,Saturday,#REF!,,,,,,,#REF!,18,0.00
BIO310,Start review sheet for unit 2,,,0:00,#REF!,,Sunday,#REF!,,,,,,,#REF!,19,0.00
BIO310,Read Microbes and Metabolism paper,,,0:00,#REF!,,,,,,,,,,#REF!,20,0.00
SPAN501,Watch La Mala Educacion,15:45,17:26,1:41,0,,,,,,,,,,#REF!,21,0.00
Wednesday,DAY,9,/13,0:00,#REF!,,,,,,,,,,#REF!,22,0.00
MATH301,PP Stats 1,21:11,21:41,0:30,0,,,,,,,,,,#REF!,23,0.00
SPAN501,Judith Butler: Gender,21:45,21:48,0:03,0,,,,,,,,,,#REF!,24,0.00
ENG301,"3 DQs, Act IV Crucible",13:01,13:31,0:30,0,,,,,,,,,,#REF!,25,0.00
EFD210,Interview set-up,12:45,12:50,0:05,0,,,,,,,,,,#REF!,26,0.00
Thursday,DAY,9,/14,0:00,#REF!,,,,,,,,,,#REF!,27,0.00
ENG301,Act IV Crucible,21:49,22:19,0:30,0,The Week Ahead: (Schedule):,,"goal: 8 hrs sleep every night
",,,,,,,#REF!,28,0.00
SPAN501,Lista de vocab,22:30,22:35,0:05,0,Monday:,,,,,,,,,#REF!,29,0.00
Friday,DAY,9,/15,0:00,#REF!,Tuesday:,,,,,,,,,#REF!,30,0.00
BIO310,Reading on LPS,15:50,16:03,0:13,0,Wednesday:,,,,,,,,,#REF!,31,0.00
BIO310,Complete Lab Notebook (collection on Monday),,,0:00,0.00,Thursday:,,,,,,,,,#REF!,32,0.00
BIO310,Review Chapter 2 & make study sheet,20:00,20:10,0:10,0,Friday:,,,,,,,,,#REF!,33,0.00
ENG301,Pharaoh hat exercise,22:00,22:05,0:05,0,Sunday,2 body paragraphs,,,,,,,,#REF!,34,0.00
MATH301,PP Stats 2,19:00,19:30,0:30,0,,,,,,,,,,#REF!,35,0.00
HIST301,Primary source readings and analysis,13:00,13:25,0:25,0,,,,,,,,,,#REF!,36,0.00
