Class Code:,Assignment Name:,Start Time,End Time,Wasted Time (Optional):,Time Spent:,,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,,,Day Count:,Day:,Homework Total:,Day:,SPAN301,ENG301,SOM11/Free/Free Group 1,PHIL250,MATH301,BIO210,HIST301,CHEM230,QUEST,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday times,Tuesday times,Wednesday times,Thursday times,Friday times,Saturday times,Sunday times,,Day of Week:,Time:,Day:,Cumulative Time:
Sunday,DAY,9,3,0:00:00,0:00,-2.91,,,,,,,,,,,,,7,17,10.09,17,0.15,0.17,0.01,0.21,0.21,0.19,0.13,0.06,0.00,,,1.00,2.00,3.00,4.00,5.00,6.00,7.00,,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,,,,17,95.03
ENG301,Crucible Act 1,10:45,11:41,0:00:00,0:56,0.00,,,,,,,,,,,,,7,18,11.00,18,0.15,0.17,0.01,0.21,0.21,0.19,0.13,0.06,0.00,,,1.00,2.00,3.00,4.00,5.00,6.00,7.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.04,,,,18,106.03
ENG301,Crucible Act 2,17:05,17:47,0:00:00,0:42,0,,,,,,,,,,,,,7,19,0.01,19,0.15,0.17,0.01,0.21,0.21,0.19,0.13,0.06,0.00,,,1.00,2.00,3.00,4.00,5.00,6.00,7.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.03,,,,19,106.04
HIST301,1491 & Megadeath,9:53 PM,11:07 PM,0:00:00,1:14,0.00,,,,,,,,,,,,,7,20,13.12,20,0.19,0.21,0.01,0.28,0.23,0.20,0.13,0.06,0.00,,,1.00,2.00,3.00,4.00,5.00,6.00,7.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.05,,,,20,119.16
PHIL250,Minsky on Conciousness,6:09 PM,6:36 PM,0:00:00,0:27,0,,,,,,,,,,,,,7,21,15.10,21,0.19,0.21,0.01,0.28,0.23,0.25,0.15,0.06,0.00,,,1.00,2.00,3.00,4.00,5.00,6.00,7.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,,,,21,134.26
Tuesday,DAY,9,5,0:00:00,0:00,-1.94,,,,,,,,,,,,,8,22,33.04,22,0.20,0.21,0.01,0.28,0.23,0.25,0.15,0.08,0.00,,,1.00,8.00,3.00,4.00,5.00,6.00,7.00,,0.00,-4.00,0.00,0.00,0.00,0.00,0.00,,,,22,167.30
PHIL250,Minsky on Conciousness,8:00 PM,8:17 PM,0:00:00,0:17,0,,,,,,,,,,,,,8,23,0.04,23,0.20,0.21,0.01,0.28,0.23,0.25,0.17,0.08,0.00,,,1.00,8.00,3.00,4.00,5.00,6.00,7.00,,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,23,167.34
SPAN301,Mi perfil de identidad,8:50 PM,21:40,0:00:00,0:50,0,,,,,,,,,,,,,8,24,18.07,24,0.20,0.21,0.01,0.28,0.25,0.33,0.17,0.09,0.00,,,1.00,8.00,3.00,4.00,5.00,6.00,7.00,,0.00,0.03,0.00,0.00,0.00,0.00,0.00,,,,24,185.41
MATH301,Creating a pattern,10:35 PM,10:50 PM,0:00:00,0:15,0,,,,,,,,,,,,,8,25,0.09,25,0.20,0.21,0.01,0.28,0.25,0.33,0.17,0.09,0.00,,,1.00,8.00,3.00,4.00,5.00,6.00,7.00,,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,25,185.50
Wednesday,DAY,9,6,0:00:00,0:00,0.04,,,,,,,,,,,,,9,26,0.09,26,0.25,0.21,0.01,0.31,0.25,0.33,0.17,0.09,0.00,,,1.00,8.00,9.00,4.00,5.00,6.00,7.00,,0.00,0.00,-3.00,0.00,0.00,0.00,0.00,,,,26,185.59
HIST301,Columbian Exchange Mini-Problem,10:20 PM,11:07 PM,0:00:00,0:47,0.00,,,,,,,,,,,,,9,27,0.07,27,0.25,0.21,0.01,0.34,0.28,0.33,0.17,0.09,0.00,,,1.00,8.00,9.00,4.00,5.00,6.00,7.00,,0.00,0.00,0.03,0.00,0.00,0.00,0.00,,,,27,185.66
