Class Code:,Assignment Name:,Start Time,End Time,Wasted Time (Optional):,Time Spent:,,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,,,Day Count:,Day:,Homework Total:,Day:,SPAN401,MATH401,SOM11,ENG301,MATH540,BIO340,CS301,HIST301,QUEST,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday times,Tuesday times,Wednesday times,Thursday times,Friday times,Saturday times,Sunday times,,Day of Week:,Time:,Day:,Cumulative Time:
Monday,DAY,8,/28,,0:00,0.01,,1,SPAN401,16,0:30:00,8:00:00,10:19:00,-2:19:00,20.20%,SPAN401,,,1,1,0.01,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Monday,0.25,1,0.01
MATH540,Brainstorm Ideas,16:20,16:30,0:00:00,0:10,0.00,,2,MATH401,16,0:30:00,8:00:00,6:43:00,1:17:00,13.15%,MATH401,,,1,2,0.06,2,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,Tuesday,0.58,2,0.07
Tuesday,DAY,8,/29,,0:00,0.06,,3,SOM11,6,0:30:00,3:00:00,0:15:00,2:45:00,0.49%,SOM11,,,2,3,0.09,3,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.06,0.00,,,1.00,2.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Wednesday,0.56,3,0.16
ENG301,Reading The Crucible - Introduction and Act One to page 7,21:50,23:10,0:00:00,1:20,0,,4,ENG301,16,0:30:00,8:00:00,17:27:00,-9:27:00,34.17%,ENG301,,,2,4,0.02,4,0.00,0.00,0.01,0.08,0.00,0.00,0.00,0.10,0.00,,,1.00,2.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.06,0.00,0.00,0.00,0.00,0.00,,Thursday,0.17,4,0.17
ENG301,Prepare for Presentation,0:34,0:40,0:00:00,0:06,0.00,,5,MATH540,16,0:30:00,8:00:00,3:45:00,4:15:00,7.34%,MATH540,,,2,5,0.03,5,0.02,0.00,0.01,0.08,0.00,0.00,0.00,0.10,0.00,,,1.00,2.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Friday,0.15,5,0.21
Wednesday,DAY,8,/30,,0:00,0.09,,6,BIO340,16,0:30:00,8:00:00,1:08:00,6:52:00,2.22%,BIO340,,,3,6,0.08,6,0.02,0.05,0.01,0.10,0.00,0.00,0.00,0.11,0.00,,,1.00,2.00,3.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Saturday,0.13,6,0.28
ENG301,Reading The Crucible - Introduction and Act One to page 7,12:05,12:35,0:00:00,0:30,0,,7,CS301,16,0:30:00,8:00:00,-10:29:00,18:29:00,-20.53%,CS301,,,3,7,0.10,7,0.02,0.05,0.01,0.13,0.03,0.00,0.00,0.18,0.00,,,1.00,2.00,3.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.02,0.00,0.00,0.00,0.00,,Sunday,0.39,7,0.39
HIST301,"Read 1491, Mann",21:57,23:27,0:00:00,1:30,0.00,,8,HIST301,16,0:30:00,8:00:00,21:56:00,-13:56:00,42.95%,HIST301,,,3,8,0.09,8,0.04,0.05,0.01,0.15,0.03,0.02,0.00,0.20,0.00,,,1.00,2.00,3.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.06,0.00,0.00,0.00,0.00,,,,8,0.48
Thursday,DAY,8,/31,,0:00,0.02,,9,QUEST,1,40:00:00,40:00:00,0:00:00,40:00:00,0.00%,QUEST,,,4,9,0.09,9,0.09,0.05,0.01,0.15,0.04,0.02,0.00,0.22,0.00,,,1.00,2.00,3.00,4.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,9,0.57
HIST301,"Read 1491, Mann",1:20 PM,2:00 PM,0:00:00,0:40,0.00,,Totals:,,,,59:00:00,51:04:00,7:56:00,100.00%,,,,4,10,0.09,10,0.09,0.05,0.01,0.17,0.04,0.02,0.00,0.22,0.00,,,1.00,2.00,3.00,4.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.03,0.00,0.00,0.00,,,,10,0.65
HIST301,"Read 1491, Mann",3:45 PM,3:52 PM,0:00:00,0:07,0,,,,,,,,,,,,,4,11,0.15,11,0.09,0.08,0.01,0.17,0.04,0.02,0.02,0.22,0.00,,,1.00,2.00,3.00,4.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,11,0.81
Friday,DAY,9,/1,,0:00,0.03,,,,,,,,,,,,,5,12,0.04,12,0.14,0.08,0.01,0.26,0.04,0.02,0.02,0.22,0.00,,,1.00,2.00,3.00,4.00,5.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,12,0.84
SPAN401,Tarea Uno,8:10 AM,8:33 AM,0:00:00,0:23,0,,,,,,,,,,,,,5,13,0.10,13,0.14,0.08,0.01,0.26,0.04,0.02,0.02,0.27,0.00,,,1.00,2.00,3.00,4.00,5.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,0.00,,,,13,0.94
Monday,DAY,9,/4,,0:00,0.08,,,,,,,,,,,,,6,14,0.10,14,0.16,0.08,0.01,0.26,0.04,0.02,0.02,0.43,0.00,,,6.00,2.00,3.00,4.00,5.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,14,1.04
MATH401,HA1: Limits1,1:45 PM,2:59 PM,0:00:00,1:14,0.00,,,,,,,,,,,,,6,15,0.08,15,0.17,0.10,0.02,0.26,0.04,0.02,0.02,0.43,0.00,,,6.00,2.00,3.00,4.00,5.00,0.00,0.00,,0.05,0.00,0.00,0.00,0.00,0.00,0.00,,,,15,1.12
HIST301,People of the Corn,3:26 PM,3:50 PM,0:00:00,0:24,0,,,,,,,,,,,,,6,16,0.04,16,0.22,0.13,0.02,0.28,0.04,0.02,0.02,0.43,0.00,,,6.00,2.00,3.00,4.00,5.00,0.00,0.00,,0.02,0.00,0.00,0.00,0.00,0.00,0.00,,,,16,1.16
ENG301,Read the Crucible,12:24 AM,12:48 AM,0:00:00,0:24,0.00,,,,,,,,,,,,,6,17,0.05,17,0.26,0.13,0.02,0.28,0.04,0.02,0.02,0.43,0.00,,,6.00,2.00,3.00,4.00,5.00,0.00,0.00,,0.02,0.00,0.00,0.00,0.00,0.00,0.00,,,,17,1.21
Tuesday,DAY,9,/5,,0:00,0.10,,,,,,,,,,,,,7,18,0.04,18,0.32,0.13,0.02,0.28,0.04,0.02,0.02,0.43,0.00,,,6.00,7.00,3.00,4.00,5.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,18,1.26
HIST301,People of the Corn,8:37 AM,9:53 AM,0:00:00,1:16,0,,,,,,,,,,,,,7,19,0.06,19,0.32,0.13,0.02,0.34,0.04,0.02,0.02,0.43,0.00,,,6.00,7.00,3.00,4.00,5.00,0.00,0.00,,0.00,0.05,0.00,0.00,0.00,0.00,0.00,,,,19,1.32
HIST301,People of the Corn,1:47 PM,2:03 PM,0:00:00,0:16,0.00,,,,,,,,,,,,,7,20,0.21,20,0.34,0.13,0.02,0.36,0.04,0.02,0.02,0.45,0.00,,,6.00,7.00,3.00,4.00,5.00,0.00,0.00,,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,20,1.53
HIST301,The Middle Ground,15:20,15:30,0:00:00,0:10,0,,,,,,,,,,,,,7,21,0.12,21,0.34,0.14,0.02,0.36,0.05,0.02,0.02,0.45,0.00,,,6.00,7.00,3.00,4.00,5.00,0.00,0.00,,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,21,1.66
MATH540,Assignment 1,4:41 PM,4:51 PM,0:00:00,0:10,0,,,,,,,,,,,,,7,22,0.04,22,0.40,0.14,0.02,0.36,0.05,0.02,0.02,0.45,0.00,,,6.00,7.00,3.00,4.00,5.00,0.00,0.00,,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,22,1.69
MATH540,Assignment 1,8:45 PM,9:12 PM,0:00:00,0:27,0,,,,,,,,,,,,,7,23,0.02,23,0.40,0.14,0.02,0.41,0.05,0.02,0.02,0.45,0.00,,,6.00,7.00,3.00,4.00,5.00,0.00,0.00,,0.00,0.02,0.00,0.00,0.00,0.00,0.00,,,,23,1.71
ENG301,Read the Crucible,10:13 PM,11:00 PM,0:00:00,0:47,0,,,,,,,,,,,,,7,24,0.02,24,0.40,0.14,0.02,0.46,0.05,0.02,0.02,0.51,0.00,,,6.00,7.00,3.00,4.00,5.00,0.00,0.00,,0.00,0.03,0.00,0.00,0.00,0.00,0.00,,,,24,1.74
Wednesday,DAY,9,/6,,0:00,0.09,,,,,,,,,,,,,8,25,0.10,25,0.41,0.14,0.02,0.46,0.07,0.02,0.02,0.69,0.00,,,6.00,7.00,8.00,4.00,5.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,25,1.84
SPAN401,Tarea Dos,7:05 PM,7:45 PM,0:00:00,0:40,0,,,,,,,,,,,,,8,26,0.23,26,0.41,0.14,0.02,0.46,0.07,0.02,0.02,0.91,0.00,,,6.00,7.00,8.00,4.00,5.00,0.00,0.00,,0.00,0.00,0.03,0.00,0.00,0.00,0.00,,,,26,2.07
BIO340,Microscope Reflection,8:18 AM,8:29 AM,0:00:00,0:11,0.00,,,,,,,,,,,,,8,27,0.07,27,0.41,0.16,0.02,0.46,0.07,0.02,0.02,0.91,0.00,,,6.00,7.00,8.00,4.00,5.00,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,27,2.14
MATH401,Limits Worksheet,3:45 PM,3:50 PM,0:00:00,0:05,0,,The Week Ahead: (Schedule):,,,,,,,,,,,8,28,0.00,28,0.43,0.28,0.02,0.46,0.07,0.02,0.02,0.91,0.00,,,6.00,7.00,8.00,4.00,5.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,28,2.14
BIO340,Review Anatomy Notes,5:00 PM,5:12 PM,0:00:00,0:12,0,,Monday:,Tuesday:,Wednesday:,,Thursday:,Friday:,,,,,,8,29,0.00,29,0.43,0.28,0.02,0.46,0.08,0.02,0.02,0.91,0.00,,,6.00,7.00,8.00,4.00,5.00,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,29,2.14
ENG301,Read the Crucible,7:55 PM,8:30 PM,0:00:00,0:35,0,,Anat. and Phys.,Free,,,SOM,Spanish,,,,,,8,30,0.00,30,0.43,0.28,0.02,0.46,0.11,0.02,0.02,0.91,0.00,,,6.00,7.00,8.00,4.00,5.00,0.00,0.00,,0.00,0.00,0.02,0.00,0.00,0.00,0.00,,,,30,2.14
HIST301,Read the Middle Ground,11:40 PM,11:59 PM,0:00:00,0:19,0,,Spanish,Calculus,,,Calculus,Anat. and Phys.,,,,,,8,31,0.00,31,0.43,0.28,0.02,0.50,0.15,0.05,0.04,0.91,0.00,,,6.00,7.00,8.00,4.00,5.00,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,31,2.14
Thursday,DAY,9,/7,,0:00,0.09,,Stats,Adv. Programming,,,Adv. Programming,English,,,,,,9,32,0.00,32,0.43,0.28,0.02,0.69,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,5.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,32,2.14
HIST301,Read the Middle Ground,12:00 AM,12:20 AM,0:00:00,0:20,0,,English,History,,,History,Stats,,,,,,9,33,0.00,33,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,5.00,0.00,0.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,,,,33,2.14
HIST301,Read the Middle Ground,1:35 AM,1:45 AM,0:00:00,0:10,0,,,,,,,,,,,,,9,34,0.00,34,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,5.00,0.00,0.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,,,,34,2.14
