Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,Homework This Day:
Monday,DAY,8,/28,0:00,0.01,1,Online Psych,15,0:30:00,7:30:00,15:21:00,-7:51:00,15.21%,Online Psych,1,1,0.01
MATH301,Thinking Mathematically Reading,18:11,18:26,0:15,0.00,2,CHIN401,15,0:30:00,7:30:00,10:59:00,-3:29:00,10.88%,CHIN401,1,2,0.07
Tuesday,DAY,8,/29,0:00,0.07,3,Free/SOM/Free,15,0:30:00,7:30:00,0:16:00,7:14:00,0.26%,Free/SOM/Free,2,3,0.14
MATH301,Thinking Mathematically Reading,8:47,8:56,0:09,0,4,PHIL250,15,0:30:00,7:30:00,7:57:00,-0:27:00,7.88%,PHIL250,2,4,0.09
BIO210,The Problem,18:30,18:51,0:21,0.00,5,MATH301,15,0:30:00,7:30:00,14:50:00,-7:20:00,14.69%,MATH301,2,5,0.02
CHIN401,Vocab Writeup 1,19:01,19:25,0:24,0,6,BIO210,15,0:30:00,7:30:00,21:57:00,-14:27:00,21.74%,BIO210,2,6,0.00
HIST301,1491 Reading,21:09,21:49,0:40,0,7,ENG301,14,0:30:00,7:00:00,13:47:00,-6:47:00,13.65%,ENG301,2,7,0.21
Wednesday,DAY,8,/30,0:00,0.14,8,HIST301,14,0:30:00,7:00:00,15:50:00,-8:50:00,15.68%,HIST301,3,8,0.05
HIST301,1491 Reading,7:30,7:55,0:25,0,9,QUEST,1,40:00:00,40:00:00,3:13:00,36:47:00,3.19%,QUEST,3,9,0.08
HIST301,1491 Reading,10:00,10:18,0:18,0.00,Totals:,,,,59:00:00,100:57:00,-41:57:00,100.00%,,3,10,0.11
ENG301,Reading Intro-pg7,10:45,11:11,0:26,0,,,,,,,,,,3,11,0.07
ENG301,Reading Intro-pg7,14:10,14:39,0:29,0,,Day of Week:,Time:,,,,,,,3,12,0.01
Online Psych,Introduction Video,20:10,20:53,0:43,0,,Monday,#N/A,,,,,,,3,13,0.12
CHIN401,Vocab Writeup 1,21:02,21:15,0:13,0,,Tuesday,0.58,,,,,,,3,14,0.08
Online Psych,Day 1,21:23,21:36,0:13,0.00,,Wednesday,0.60,,,,,,,3,15,0.12
CHIN401,My Summer Life,9:39 PM,10:20 PM,0:41,0,,Thursday,#N/A,,,,,,,3,16,0.09
Thursday,DAY,8,/31,0:00,0.09,,Friday,#N/A,,,,,,,4,17,0.08
CHIN401,Review of Summer Life & Vocab,7:55,7:59,0:04,0.00,,Saturday,#N/A,,,,,,,4,18,0.20
Online Psych,Day 2,20:32,21:43,1:11,0,,Sunday,#N/A,,,,,,,4,19,0.05
BIO210,The Big Picture Dolly Problem,21:48,22:37,0:49,0.00,,,,,,,,,,4,20,0.07
Friday,DAY,9,/1,0:00,0.02,,,,,,,,,,5,21,0.18
PHIL250,Minsky,7:51,8:10,0:19,0,,,,,,,,,,5,22,0.06
PHIL250,Minsky,8:21,8:28,0:07,0,,,,,,,,,,5,23,0.06
Saturday,DAY,9,/2,0:00,0.00,,,,,,,,,,6,24,0.16
Sunday,DAY,9,/3,0:00,0.21,,,,,,,,,,7,25,0.12
Online Psych,"Reading Handbook, etc.",9:38,9:53,0:15,0,,,,,,,,,,7,26,0.08
HIST301,Follow the Corn,9:58,10:32,0:34,0.00,,,,,,,,,,7,27,0.13
MATH301,Calculator Forms,10:36,10:40,0:04,0,The Week Ahead: (Schedule):,,,,,,,,,7,28,0.19
QUEST,Aggression Poem,12:35 PM,1:15 PM,0:40,0,Monday:,Science of Kale,Spanish,,English XVI,Sociology of Buns,Buns: Economics,,,7,29,0.26
HIST301,Follow the Corn,13:16,14:01,0:45,0,Tuesday:,How to draw like Micheal,Magic 101,,Spanish,History,Hypermodern art,,,7,30,0.13
Online Psych,Get Oriented,6:33 PM,6:59 PM,0:26,0,Wednesday:,Math 3 + 4i,Spanish,,SOM,Free Period!,Look Around You,,,7,31,0.09
ENG301,Reading pg7-end of Act 2,7:02 PM,7:35 PM,0:33,0.00,Thursday:,Meditation,Free Period!,,Spanish,Dark Arts (Magic),Astrology,,,7,32,0.05
ENG301,Reading pg7-end of Act 2,8:11 PM,8:40 PM,0:29,0,Friday:,Spanish,Water,,More Water!,MOAR WATER!,Physics,,,7,33,0.02
CHIN401,Vocab pgs. 30-32,20:43,20:54,0:11,0,,,,,,,,,,7,34,0.11
CHIN401,Watch Summer Life Video,20:59,9:18 PM,0:19,0,"TODO: Write 50 more essays, cry, repeat",,,,,,,,,7,35,0.11
CHIN401,Vocab pgs. 30-32,9:22 PM,9:43 PM,0:21,0,,,,,,,,,,7,36,0.16
Online Psych,The Psychology of Habits,9:47 PM,10:12 PM,0:25,0.00,,,,,,,,,,7,37,0.16
Monday,DAY,9,/4,0:00,0.05,,,,,,,,,,8,38,0.01
CHIN401,Vocab pgs. 30-32,10:05,10:10,0:05,0,,,,,,,,,,8,39,0.00
Online Psych,Understanding the Three Perspectives,2:27 PM,3:11 PM,0:44,0,,,,,,,,,,8,40,0.00
CHIN401,Vocab pgs. 30-32,10:35 PM,10:56 PM,0:21,0.00,,,,,,,,,,8,41,0.00
Tuesday,DAY,9,/5,0:00,0.08,,,,,,,,,,9,42,0.00
CHIN401,Vocab pgs. 30-32,7:32 AM,7:38 AM,0:06,0.00,,,,,,,,,,9,43,0.00
MATH301,Create Your Own Puzzle,9:20 AM,9:40 AM,0:20,0.00,,,,,,,,,,9,44,0.00
MATH301,Create Your Own Puzzle,19:03,7:27 PM,0:24,0,,,,,,,,,,9,45,0.00
Online Psych,The Psychology of Habits,20:20,8:55 PM,0:35,0,,,,,,,,,,9,46,0.00
