Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,Homework This Day:
Tuesday,DAY,8,/29,0:00,0.05,1,PHYS350,15,0:30:00,7:30:00,2:46:00,4:44:00,7.76%,PHYS350,1,1,0.05
ENG301,Reading intro/pg 7,8:19,8:30,0:11,0.00,2,HIST301,15,0:30:00,7:30:00,8:23:00,-0:53:00,23.52%,HIST301,1,2,0.02
ENG301,Reading intro/pg 7,15:38,15:53,0:15,0,3,PHYS210,15,0:30:00,7:30:00,0:23:00,7:07:00,1.08%,PHYS210,1,3,0.03
ENG301,Reading intro/pg 7,17:06,17:21,0:15,0,4,ENG301,15,0:30:00,7:30:00,8:14:00,-0:44:00,23.09%,ENG301,1,4,0.00
MATH401,Look at calculus projects,17:26,17:29,0:03,0.00,5,MATH401,15,0:30:00,7:30:00,4:33:00,2:57:00,12.76%,MATH401,1,5,0.00
PHYS350,Look over introductory materials,17:48,17:53,0:05,0,6,SOM,15,0:30:00,7:30:00,0:00:00,7:30:00,0.00%,SOM,1,6,0.06
SPAN501,Handouts,18:07,18:23,0:16,0,7,SPAN501,14,0:30:00,7:00:00,11:02:00,-4:02:00,30.95%,SPAN501,1,7,0.02
Wednesday,DAY,8,/30,0:00,0.02,8,CS220,14,0:30:00,7:00:00,0:18:00,6:42:00,0.84%,CS220,2,8,0.02
HIST301,Reading pgs 3-14,12:12,12:34,0:22,0,9,TEST PREP,1,40:00:00,40:00:00,2:12:00,37:48:00,6.17%,TEST PREP,2,9,0.09
PHYS210,Day 1 Redux,15:39,15:42,0:03,0.00,Totals:,,,,59:00:00,35:39:00,23:21:00,100.00%,,2,10,0.03
Thursday,DAY,8,/31,0:00,0.03,,,,,,,,,,3,11,0.00
ENG301,Reading Act 1-2,8:14,8:29,0:15,0,,Day of Week:,Time:,,,,,,,3,12,0.00
HIST301,"1491, megadeath",12:08,12:37,0:29,0,,Monday,0.13,,,,,,,3,13,0.03
Friday,DAY,9,/1,0:00,0.00,,Tuesday,0.22,,,,,,,4,14,0.01
Saturday,DAY,9,/2,0:00,0.00,,Wednesday,0.30,,,,,,,5,15,0.00
Sunday,DAY,9,/3,0:00,0.06,,Thursday,0.11,,,,,,,6,16,0.02
HIST301,"1491, megadeath",14:55,15:04,0:09,0.00,,Friday,0.01,,,,,,,6,17,0.05
ENG301,Reading act 1-2,15:07,16:10,1:03,0.00,,Saturday,0.22,,,,,,,6,18,0.00
SPAN501,París por la ventana,16:27,16:41,0:14,0,,Sunday,0.60,,,,,,,6,19,0.10
