Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,Homework This Day:
Saturday,DAY,9,/2,0:00,0.08,1,FA130,,0:30:00,,0:00:00,,,FA130,1,1,0.08
HIST301,1491 and Megadeath Readings,14:20,14:43,0:23,0.00,2,HIST301,10,0:30:00,5:00:00,4:32:00,0:28:00,13.72%,HIST301,1,2,0.03
HIST301,1491 and Megadeath Readings,14:51,15:21,0:30,0,3,SOM11,5,0:30:00,2:30:00,0:37:00,1:53:00,1.87%,SOM11,1,3,0.12
SPAN501,Paris por la ventana ,15:50,16:21,0:31,0,4,JRNL110,,0:30:00,,2:45:00,,,JRNL110,1,4,0.17
ENG301,The Crucible Acts 1 and 2 ,16:50,16:58,0:08,0.00,5,MATH301,9,0:30:00,4:30:00,10:45:00,-6:15:00,32.53%,MATH301,1,5,0.02
ENG301,The Crucible Acts 1 and 2 ,22:30,22:58,0:28,0,6,BIO340,9,0:30:00,4:30:00,0:38:00,3:52:00,1.92%,BIO340,1,6,0.04
Sunday,DAY,9,/3,0:00,0.03,7,SPAN501,9,0:30:00,4:30:00,6:06:00,-1:36:00,18.46%,SPAN501,2,7,0.12
ENG301,The Crucible Acts 1 and 2 ,23:00,23:40,0:40,0.00,8,ENG301,8,0:30:00,4:00:00,7:40:00,-3:40:00,23.20%,ENG301,2,8,0.11
Monday,DAY,9,/4,0:00,0.12,,,,,,,,,,3,9,0.01
ENG301,The Crucible Acts 1 and 2 ,10:30,10:45,0:15,0.00,Totals:,,,,25:00:00,33:03:00,-5:18:00,91.68%,,3,10,0.03
ENG301,The Crucible Acts 1 and 2 ,16:30,17:20,0:50,0,,,,,,,,,,3,11,0.12
Tuesday,DAY,9,/5,0:00,0,,Day of Week:,Time:,,,,,,,3,12,0.13
MATH301,Creating a puzzle,17:06,17:36,0:30,0,,Monday,0.15,,,,,,,3,13,0.02
BIO340,Microscope Activity Findings ,18:10,18:26,0:16,0,,Tuesday,0.1111111111,,,,,,,3,14,0.00
JRNL110,Managerial Work ,18:35,18:51,0:16,0.00,,Wednesday,0.29,,,,,,,3,15,0.05
JRNL110,Managerial Work ,19:19,19:29,0:10,0,,Thursday,0.15,,,,,,,3,16,0.02
JRNL110,Managerial Work ,20:09,20:15,0:06,0.00,,Friday,0.06,,,,,,,3,17,0.08
JRNL110,Managerial Work ,20:22,20:48,0:26,0.00,,Saturday,0.21,,,,,,,3,18,0.00
Wednesday,DAY,9,/6,0:00,0.17,,Sunday,0.20,,,,,,,4,19,0.00
HIST301,Columbian Exchange Mini Project,17:58,18:12,0:14,0.00,,,,,,,,,,4,20,0.00
HIST301,Columbian Exchange Mini Project,20:32,21:21,0:49,0,,,,,,,,,,4,21,0.00
SPAN501,Online,21:55,22:58,1:03,0,,,,,,,,,,4,22,0.00
Thursday,DAY,9,/7,0:00,0.02,,,,,,,,,,5,23,0.00
MATH301,Creating a puzzle (working with Cam) ,19:39,21:26,1:47,0,,,,,,,,,,5,24,0.00
MATH301,Creating a puzzle (working with Cam) ,21:50,22:59,1:09,0,,,,,,,,,,5,25,0.00
Friday,DAY,9,/8,0:00,0.04,,,,,,,,,,6,26,0.00
JRNL110,Visual Theme Inspo ,12:30,12:40,0:10,0.00,,,,,,,,,,6,27,0.00
Saturday,DAY,9,/9,0:00,0.12,The Week Ahead: (Schedule):,,,,,,,,,7,28,0.00
SOM11,5 minutes of observation,11:43,12:03,0:20,0,Monday:,Science of Kale,Spanish,,English XVI,Sociology of Buns,Buns: Economics,,,7,29,0.00
HIST301,Spanish Colonies Reading ,12:16,12:50,0:34,0,Tuesday:,How to draw like Micheal,Magic 101,,Spanish,History,Hypermodern art,,,7,30,0.00
MATH301,Creating a puzzle ,14:57,15:52,0:55,0,Wednesday:,Math 3 + 4i,Spanish,,SOM,Free Period!,Look Around You,,,7,31,0.00
Sunday,DAY,9,/10,0:00,0.11,Thursday:,Meditation,Free Period!,,Spanish,Dark Arts (Magic),Astrology,,,8,32,0.00
MATH301,Creating a puzzle ,11:16,12:20,1:04,0,Friday:,Spanish,Water,,More Water!,MOAR WATER!,Physics,,,8,33,0.00
MATH301,Creating a puzzle ,15:15,15:55,0:40,0,,,,,,,,,,8,34,0.00
ENG301,The Crucible Act 3,16:16,17:17,1:01,0,"TODO: Write 50 more essays, cry, repeat",,,,,,,,,8,35,0.00
MATH301,Creating a puzzle,17:24,18:16,0:52,0,,,,,,,,,,8,36,0.00
JRNL110,Poke spread practice ,18:19,18:40,0:21,0.00,,,,,,,,,,8,37,0.00
BIO340,Carolina Bio Dissection Kits,18:44,18:56,0:12,0,,,,,,,,,,8,38,0.00
MATH301,Creating a puzzle,20:06,20:18,0:12,0,,,,,,,,,,8,39,0.00
Monday,DAY,9,/11,0:00,0.01,,,,,,,,,,9,40,0.00
SPAN501,Releer Online y escribir la trama ,19:54,20:54,1:00,0.00,,,,,,,,,,9,41,0.00
Tuesday,DAY,9,/12,0:00,0.03,,,,,,,,,,10,42,0.00
SPAN501,Releer Online y escribir la trama ,9:50,10:40,0:50,0.00,,,,,,,,,,10,43,0.00
Wednesday,DAY,9,/13,0:00,0.12,,,,,,,,,,11,44,0.00
BIO340,"Preserved specimens, medical condition, and dissection demo ",7:20,7:30,0:10,0,,,,,,,,,,11,45,0.00
MATH301,Statistics 1,12:45,13:15,0:30,0,,,,,,,,,,11,46,0.00
ENG301,Prep for Act 3 fishbowl ,20:30,20:51,0:21,0,,,,,,,,,,11,47,0.00
SPAN501,Judith Butler Video ,20:57,21:05,0:08,0,,,,,,,,,,11,48,0.00
ENG301,Prep for Act 3 fishbowl ,21:10,21:21,0:11,0,,,,,,,,,,11,49,0.00
ENG301,Prep for Act 3 fishbowl ,21:36,22:01,0:25,0,,,,,,,,,,11,50,0.00
Thursday,DAY,9,/14,0:00,0.13,,,,,,,,,,12,51,0.00
JRNL110,Managerial Work ,8:45,9:35,0:50,0,,,,,,,,,,12,52,0.00
JRNL110,Managerial Work ,18:09,18:24,0:15,0.00,,,,,,,,,,12,53,0.00
MATH301,Statistics 1 (cont.),18:44,18:55,0:11,0,,,,,,,,,,12,54,0.00
MATH301,Statistics 1 (cont.),19:13,19:40,0:27,0,,,,,,,,,,12,55,0.00
ENG301,The Crucible Act 4,19:50,20:13,0:23,0,,,,,,,,,,12,56,0.00
ENG301,The Crucible Act 4,20:44,21:16,0:32,0,,,,,,,,,,12,57,0.00
SPAN501,Releer Online y post ,22:06,22:41,0:35,0,Hello. The black stuff down and right is generating those nice graphs. Please don't edit it if you like them!,,,,,,,,,12,58,0.00
SPAN501,Releer Online y post ,22:50,23:35,0:45,0.00,Day:,FA130,HIST301,SOM11,JRNL110,MATH301,BIO340,SPAN501,ENG301,12,59,0.00
Friday,DAY,9,/15,0:00,0.02,1,0.00,0.04,0.00,0.00,0.00,0.00,0.02,0.03,13,60,0.00
SPAN501,Releer Online y post ,8:48,9:00,0:12,0,2,0.00,0.04,0.00,0.00,0.00,0.00,0.02,0.05,13,61,0.00
Saturday,DAY,9,/16,0:00,0.00,3,0.00,0.04,0.00,0.04,0.02,0.01,0.02,0.10,14,62,0.00
SOM11,Break a social norm,21:35,21:52,0:17,0.00,4,0.00,0.08,0.00,0.04,0.02,0.01,0.07,0.10,14,63,0.00
Sunday,DAY,9,/17,0:00,0.05,5,0.00,0.08,0.00,0.04,0.14,0.01,0.07,0.10,15,64,0.00
MATH301,Statistics 2,19:19,19:57,0:38,0,6,0.00,0.08,0.00,0.05,0.14,0.01,0.07,0.10,15,65,0.00
HIST301,Primary Source Anaylsis: Virginia Sources,22:53,0:00,1:07,0,7,0.00,0.10,0.01,0.05,0.18,0.01,0.07,0.10,15,66,0.00
Monday,DAY,9,/18,0:00,0.02,8,0.00,0.10,0.01,0.06,0.30,0.02,0.07,0.14,16,67,0.00
