Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,Homework This Day:
Monday,DAY,8,/28,0:00,0.01,1,AMSL201,15,0:30:00,7:30:00,5:08:00,2:22:00,6.28%,AMSL201,1,1,0.01
AMSL201,,,,0:00,0.00,2,ENG301,15,0:30:00,7:30:00,14:25:00,-6:55:00,17.64%,ENG301,1,2,0.09
ENG301,,,,0:00,0,3,SPAN501,15,0:30:00,7:30:00,16:36:00,-9:06:00,20.31%,SPAN501,1,3,0.12
SPAN501,,,,0:00,0,4,ENV110,15,0:30:00,7:30:00,5:27:00,2:03:00,6.67%,ENV110,1,4,0.05
ENV110,Intro survey ,19:48,20:00,0:12,0.00,5,MATH301,15,0:30:00,7:30:00,9:59:00,-2:29:00,12.22%,MATH301,1,5,0.13
MATH301,,,,0:00,0,,,,,,,,,,1,6,0.06
HIST301,,,,0:00,0,7,HIST301,14,0:30:00,7:00:00,14:34:00,-7:34:00,17.83%,HIST301,1,7,0.05
CSG160,,,,0:00,0.00,8,CSG160,14,0:30:00,7:00:00,15:34:00,-8:34:00,19.05%,CSG160,1,8,0.07
Tuesday,DAY,8,/29,0:00,0.09,9,EXT_101,1,40:00:00,40:00:00,-19:56:00,59:56:00,-24.39%,EXT_101,2,9,0.09
MATH301,Thinking Mathematically reading,7:32,7:53,0:21,0.00,Totals:,,,,51:30:00,81:43:00,-30:13:00,100.00%,,2,10,0.00
ENG301,The Crucible ,17:57,18:33,0:36,0,,,,,,,,,,2,11,0.10
SPAN501 ,Handouts: María José Navia,21:53,22:10,0:17,0,,,,,,,,,,2,12,0.13
SPAN501,Handouts: How to Read Literature,20:44,21:15,0:31,0,,,,,,,,,,2,13,0.19
EXT_101,Inian Islands Institute Survey ,22:16,22:47,0:31,0,,,,,,,,,,2,14,0.08
Wednesday,DAY,8,/30,0:00,0.12,,,,,,,,,,3,15,0.13
HIST301,TEXTBOOK READING,6:04 PM,6:28 PM,0:24,0,,,,,,,,,,3,16,0.08
CSG160,The Lost World Reading ,4:45 PM,5:25 PM,0:40,0.00,,,,,,,,,,3,17,0.06
CSG160,Media Literacy ,5:27 PM,5:37 PM,0:10,0.00,,,,,,,,,,3,18,0.24
HIST301,TEXTBOOK READING,8:20 PM,9:02 PM,0:42,0,,,,,,,,,,3,19,0.02
Thursday,DAY,8,/28,0:00,0.05,,,,,,,,,,4,20,0.06
ENG301,The Crucible acts 1 & 2,15:35,16:54,1:19,0,,,,,,,,,,4,21,0.12
CSG160,The Banality of the Anthropocene,22:14,22:38,0:24,0,,,,,,,,,,4,24,0.12
Saturday,DAY,9/2,,0:00,0.13,,,,,,,,,,5,25,0.16
HIST301,1491,9:34,10:36,1:02,0,,,,,,,,,,5,26,0.05
HIST301,Megadeath ,10:43,11:00,0:17,0.00,,,,,,,,,,5,27,0.07
SPAN501,Paris por la ventana ,13:52,14:15,0:23,0,,,,,,,,,,5,28,0.10
Sunday,DAY,9/3,,0:00,0.06,,,,,,,,,,6,29,0.19
EXT_101,SAT math prep ,12:30 PM,3:00 PM,2:30,0,,,,,,,,,,6,30,0.05
CSG160,Media Literacy pt. 2,5:45 PM,6:21 PM,0:36,0,,,,,,,,,,6,31,0.10
Monday,DAY,9/4,,0:00,0.05,,,,,,,,,,7,32,0.08
AMSL201,Where were we? ,21:05,21:19,0:14,0,,,,,,,,,,7,35,0.00
MATH301,puzzle creation ,21:36,10:29 PM,0:53,0,,,,,,,,,,7,36,0.00
HIST301,columbian exchange ,10:55 PM,23:35,0:40,0.00,,,,,,,,,,7,37,0.00
