Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,0.03333333333
BIO210,essential understandings,7:15 PM,7:25 PM,0:10,0,Friday:,Spanish,Water,,More Water!,MOAR WATER!,Physics,,,10,33,0.1055555556
HIST301,reading from R. White,7:26 PM,8:24 PM,0:58,0,,,,,,,,,,10,34,0.1159722222
HIST430,"reading ""speaking with 'Fundamentalists'""",8:25 PM,9:14 PM,0:49,0,"TODO: Write 50 more essays, cry, repeat",,,,,,,,,10,35,0.08888888889
SPAN501,"leyendo ""online"" y escribiendo en el foro",9:17 PM,9:51 PM,0:34,0,,,,,,,,,,10,36,0.03888888889
Thursday,DAY,9,/7,0:00,0.00,,,,,,,,,,11,37,0
SPAN501,"leyendo ""online"" y escribiendo en el foro",6:47 AM,7:25 AM,0:38,0,,,,,,,,,,11,38,0
BIO210,"reading and taking notes on ""stem cells 1 and 2""",9:08,9:35:00,0:27,0,,,,,,,,,,11,39,0
MATH401,picking a false statement & providing a counterexample ,9:36,9:45,0:09,0,,,,,,,,,,11,40,0
MATH401,researching linear approximation,7:20 PM,7:32 PM,0:12,0.00,,,,,,,,,,11,41,0
MATH401,trying to derive square root approximation theorem,7:37 PM,8:15 PM,0:38,0.00,,,,,,,,,,11,42,0
PHYS110,"""picturing motion"" worksheet",8:17 PM,8:22 PM,0:05,0.00,,,,,,,,,,11,43,0
PHYS110,prepping for quiz on unit conversion,8:23 PM,9:05 PM,0:42,0.00,,,,,,,,,,11,44,0
Friday,DAY,9,/8,0:00,0,,,,,,,,,,12,45,0
Saturday,DAY,9,/9,0:00,0.1833333333,,,,,,,,,,13,46,0
Sunday,DAY,9,/10,0:00,0.07291666667,,,,,,,,,,14,47,0
ENG301,reading act iv,1:26 PM,1:46 PM,0:20,0,,,,,,,,,,14,48,0
HIST430,"reading chapter 1 of ""battle for God"" & response",1:52 PM,2:38 PM,0:46,0,,,,,,,,,,14,49,0
PHYS110,reading slides & watching video (vectors),3:09 PM,4:02 PM,0:53,0,,,,,,,,,,14,50,0
PHYS110,worksheet (vectors),4:03 PM,4:17 PM,0:14,0,,,,,,,,,,14,51,0
SPAN501,watching judith butler video on gender,4:19 PM,4:24 PM,0:05,0,,,,,,,,,,14,52,0
SPAN501,making quizlet list of transition word vocab,6:12 PM,6:36 PM,0:24,0.00,,,,,,,,,,14,53,0
BIO210,reading stem cells pt 3,6:36 PM,18:47,0:11,0,,,,,,,,,,14,54,0
BIO210,reading first page of dolly paper,7:15 PM,7:42 PM,0:27,0,,,,,,,,,,14,55,0
HIST301,"""understanding american history"" project: brainstorm",7:45 PM,8:02 PM,0:17,0,,,,,,,,,,14,56,0
SPAN501,"starting ""la mala educación""",8:13 PM,9:00 PM,0:47,0,,,,,,,,,,14,57,0
Monday,DAY,9,/11,0:00,0.09097222222,Hello. The black stuff down and right is generating those nice graphs. Please don't edit it if you like them!,,,,,,,,,15,58,0
BIO210,essential understandings,7:55 AM,8:18 AM,0:23,0.00,Day:,PHYS110,HIST430,SOM11,ENG301,MATH401,BIO210,SPAN501,HIST301,15,59,0
HIST301,"""understanding american history"" project",7:43 PM,9:05 PM,1:22,0,1,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,15,60,0
Tuesday,DAY,9,/12,0:00,0.1208333333,2,0.00,0.00,0.00,0.04,0.01,0.00,0.00,0.00,16,61,0
HIST430,finishing chapter 1,9:58 AM,10:40,0:42,0,3,0.00,0.02,0.00,0.04,0.01,0.00,0.04,0.03,16,62,0
SPAN501,"working on ""la trama""",10:40,10:58,0:18,0.00,4,0.03,0.02,0.00,0.04,0.01,0.06,0.04,0.03,16,63,0
SPAN501,"working on ""la trama""",12:15 PM,1:11 PM,0:56,0,5,0.03,0.02,0.00,0.04,0.01,0.06,0.04,0.03,16,64,0
PHYS110,finishing & checking PVA set,8:33 PM,8:48 PM,0:15,0,6,0.03,0.02,0.00,0.04,0.01,0.06,0.04,0.03,16,65,0
Wednesday,DAY,9,/13,0:00,0.1368055556,7,0.03,0.02,0.00,0.04,0.01,0.06,0.04,0.03,17,66,0
BIO210,dolly page 2,7:50 AM,8:23 AM,0:33,0,8,0.06,0.05,0.00,0.09,0.02,0.06,0.07,0.06,17,67,0
ENG301,"reading ""sleepy hollow""",7:39 PM,8:41 PM,1:02,0.00,9,0.06,0.05,0.00,0.13,0.02,0.07,0.07,0.06,17,68,0
HIST430,Armstrong chapter 4 & response,8:42 PM,10:01 PM,1:19,0,10,0.06,0.09,0.00,0.13,0.02,0.08,0.09,0.10,17,69,0
Thursday,DAY,9,/14,0:00,0.01041666667,11,0.09,0.09,0.00,0.13,0.06,0.10,0.12,0.10,18,70,0
SPAN501,la construcción de la identidad personal,8:35 AM,9:01:00,0:26,0,12,0.09,0.09,0.00,0.13,0.06,0.10,0.12,0.10,18,71,0
BIO210,write-up of three experiments: discussion during free,9:02 AM,9:45 AM,0:43,0.00,13,0.09,0.09,0.00,0.13,0.06,0.10,0.12,0.10,18,72,0
BIO210,write-up of three experiments,6:59 PM,7:57 PM,0:58,0.00,14,0.14,0.12,0.00,0.14,0.06,0.13,0.17,0.12,18,73,0
SPAN501,"""online"" canvas post rewrite",8:35 PM,9:45 PM,1:10,0,15,0.14,0.12,0.00,0.14,0.06,0.14,0.17,0.17,18,74,0
Friday,DAY,9,/15,0:00,0.02,16,0.15,0.15,0.00,0.14,0.06,0.14,0.22,0.17,19,75,0
SPAN501,"filming ""online"" scene",3:30 PM,3:45 PM,0:15,0,17,0.15,0.20,0.00,0.18,0.06,0.16,0.22,0.17,19,76,0
Saturday,DAY,9,/16,0:00,0.2152777778,18,0.15,0.20,0.00,0.18,0.06,0.23,0.29,0.17,20,77,0
SPAN501,"recording ""online"" voiceover",17:40,6:03 PM,0:23,0,19,0.15,0.20,0.00,0.18,0.06,0.23,0.30,0.17,20,78,0
Sunday,DAY,9,/17,0:00,0.05763888889,20,0.15,0.20,0.00,0.18,0.06,0.23,0.32,0.17,21,79,0
HIST430,Rebbe God & response,2:26 PM,2:47 PM,0:21,0.00,21,0.16,0.22,0.00,0.18,0.09,0.26,0.39,0.22,21,80,0
HIST301,readings from canvas,2:59 PM,3:38 PM,0:39,0,22,0.18,0.24,0.00,0.18,0.10,0.26,0.40,0.22,21,81,0
HIST301,skimming the textbook,4:05 PM,16:32,0:27,0,23,0.18,0.27,0.00,0.19,0.10,0.28,0.40,0.22,21,82,0
SPAN501,learning film vocab,4:40 PM,5:15 PM,0:35,0.00,24,0.18,0.28,0.00,0.19,0.10,0.31,0.40,0.22,21,83,0
MATH401,teaching myself limits (session 1),5:47 PM,6:33 PM,0:46,0,25,0.24,0.28,0.00,0.19,0.12,0.32,0.43,0.23,21,84,0
BIO210,stem cells part iv,6:35 PM,6:47 PM,0:12,0,26,0.24,0.28,0.00,0.19,0.12,0.32,0.43,0.23,21,85,0
BIO210,essential understandings,6:48 PM,7:00 PM,0:12,0.00,27,0.24,0.28,0.00,0.19,0.12,0.32,0.43,0.23,21,86,0
BIO210,write-up take ii,7:00 PM,7:20 PM,0:20,0,28,0.27,0.28,0.00,0.20,0.17,0.32,0.43,0.23,21,87,0
PHYS110,correcting kinematics worksheet,7:22 PM,7:48 PM,0:26,0,29,0.27,0.28,0.00,0.20,0.17,0.33,0.44,0.26,21,88,0
SPAN501,"watching ""la mala education""",8:05 PM,9:17 PM,1:12,0,30,0.27,0.28,0.00,0.20,0.17,0.33,0.51,0.26,21,89,0
Monday,DAY,9,/18,0:00,0.06,31,0.27,0.28,0.00,0.20,0.17,0.35,0.51,0.42,22,90,0
MATH401,limit exploration,7:40 AM,7:55 AM,0:15,0,32,0.27,0.29,0.00,0.20,0.17,0.40,0.56,0.42,22,91,0
HIST430,"reading the introduction to ""year of living biblically""",7:30 PM,7:54 PM,0:24,0,33,0.27,0.29,0.00,0.20,0.17,0.40,0.56,0.42,22,92,0
PHYS110,finishing lab report,8:00 PM,8:27 PM,0:27,0.00,34,0.27,0.37,0.00,0.20,0.20,0.40,0.56,0.42,22,93,0
SPAN501,finding & sending timestamp,8:36 PM,8:53 PM,0:17,0.00,35,0.27,0.37,0.00,0.20,0.20,0.40,0.56,0.53,22,94,0
Tuesday,DAY,9,/19,0:00,0.03472222222,36,0.28,0.37,0.00,0.20,0.20,0.48,0.56,0.53,23,95,0
BIO210,finding papers for defense topic,10:17 AM,10:35 AM,0:18,0,37,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,23,96,0
BIO210,essential understandings,10:36 AM,10:47 AM,0:11,0,38,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,23,97,0
ENG301,phillis wheatley poem,8:57 PM,9:07 PM,0:10,0,39,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,23,98,0
HIST430,"reading ""year of living biblically""",9:10 PM,22:00,0:50,0,40,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,23,99,0
Wednesday,DAY,9,/20,0:00,0.1229166667,41,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,24,100,0
BIO210,big picture: defense topic,7:20 AM,7:56 AM,0:36,0.00,42,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,24,101,0
HIST430,"writing response for ""year of living bibillically"" ch 1",8:41 PM,8:55 PM,0:14,0,43,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,24,102,0
Thursday,DAY,9,/21,0:00,0,44,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,25,103,0
SPAN501,"encontrando artículos de ""la mala educación""",9:21 PM,9:48 PM,0:27,0,45,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,25,104,0
MATH401,learning the binomial theorem,12:50,1:00 PM,0:10,0,46,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,25,105,0
SPAN501,planeando mi ensayo primero,7:09 PM,7:15 PM,0:06,0.00,47,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,25,106,0
HIST301,planning unit i essay before meeting w barry,7:17 PM,7:38 PM,0:21,0,48,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,25,107,0
PHYS110,constant acceleration/kinematics problem set,7:40 PM,9:07 PM,1:27,0,49,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,25,108,0
BIO210,level 1 read of new paper,9:08 PM,9:27 PM,0:19,0.00,50,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,25,109,0
MATH401,reading textbook on limits,9:31 PM,9:38 PM,0:07,0,51,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,25,110,0
Friday,DAY,9,/22,0:00,0,52,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,26,111,0
Saturday,DAY,9,/23,0:00,0.09513888889,53,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,27,112,0
Sunday,DAY,9,/24,0:00,0.04,54,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,28,113,0
PHYS110,"checking & finishing problem set, plus optional problems",11:30 AM,12:12 PM,0:42,0,55,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,28,114,0
SPAN501,trabajo escrito: ensayo uno,4:22 PM,4:31 PM,0:09,0,56,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,28,115,0
ENG301,brainstorming essay,4:53 PM,5:02 PM,0:09,0,57,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,28,116,0
MATH401,reading & videos on the delta-epsilon definition of limits,5:36 PM,6:53 PM,1:17,0.00,58,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,28,117,0
Monday,DAY,9,/25,0:00,0.07361111111,59,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,29,118,0
SPAN501,planeando post de canvas,7:22 PM,7:33 PM,0:11,0,60,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,29,119,0
HIST301,working on unit i essay,7:34 PM,8:07 PM,0:33,0,61,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,29,120,0
BIO210,working on level ii read of new paper,8:47 PM,9:04 PM,0:17,0.00,62,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,29,121,0
Tuesday,DAY,9,/26,0:00,0.18,63,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,30,122,0
SPAN501,trabajando en ensayo uno,9:47 AM,10:31 AM,0:44,0,64,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,30,123,0
SPAN501,trabajando en ensayo uno,8:38 PM,9:40 PM,1:02,0.00,65,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,30,124,0
Wednesday,DAY,9,/27,0:00,0.1166666667,66,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,31,125,0
BIO210,level ii read - as much as i could,6:42 AM,7:05 AM,0:23,0.00,67,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,31,126,0
HIST301,working on unit i essay,8:00 AM,8:29 AM,0:29,0,68,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,31,127,0
HIST301,working on unit i essay,7:00 PM,8:47 PM,1:47,0,69,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,31,128,0
HIST301,working on unit i essay,9:06 PM,10:42 PM,1:36,0.00,70,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,31,129,0
Thursday,DAY,9,/28,0:00,0,71,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,32,130,0
ENG301,"brainstorming ""pitch a play"" topics",9:15 AM,9:22 AM,0:07,0.00,72,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,32,131,0
HIST430,living biblically ch. 3: re-reading & response,9:24 AM,9:43 AM,0:19,0,73,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,32,132,0
BIO210,maherali level iii,7:19 PM,8:31 PM,1:12,0.00,74,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,32,133,0
SPAN501,trabajando en ensayo uno,8:47 PM,9:57 PM,1:10,0.00,75,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,32,134,0
Friday,DAY,9,/29,0:00,0.11,76,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,33,135,0
Saturday,DAY,9,/30,0:00,0.1159722222,77,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,34,136,0
HIST430,biblically ch 7 & response,2:45 PM,3:45 PM,1:00,0,78,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,34,137,0
MATH401,videos & notes,4:36 PM,5:23 PM,0:47,0.00,79,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,34,138,0
HIST430,302-end of biblically,5:31 PM,6:16 PM,0:45,0.00,80,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,34,139,0
Sunday,DAY,10,/1,0:00,0.09,81,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,35,140,0
HIST301,catching up: the imperial crisis,7:13 PM,8:39 PM,1:26,0.00,82,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,35,141,0
HIST301,"ch 6 & 7, declaration of independence, common sense",8:39 PM,10:00 PM,1:21,0.00,83,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,35,142,0
Monday,DAY,10,/2,0:00,0.04,84,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,36,143,0
PHYS110,finishing lab report,6:56 PM,7:05 PM,0:09,0.00,85,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,36,144,0
BIO210,big picture assessment,7:12 PM,7:48 PM,0:36,0.00,86,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,36,145,0
BIO210,big picture assessment,8:14 PM,9:37 PM,1:23,0.00,87,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,36,146,0
Tuesday,DAY,10,/3,0:00,0.00,88,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,37,147,0
MATH401,catch-up,9:55 AM,10:51 AM,0:56,0.00,89,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,37,148,0
Wednesday,DAY,10,/4,0:00,0,90,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,149,0
,,,,0:00,0,91,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,150,0.00
,,,,0:00,0,92,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0.00,93,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,94,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,95,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,96,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,97,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0.00,98,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0.00,99,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,100,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,101,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,102,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,103,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0.00,104,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,105,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,106,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,107,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,108,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0.00,109,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,110,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,111,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0.00,112,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,113,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,114,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,115,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,116,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0.00,117,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,118,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,119,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,120,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,121,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,122,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0.00,123,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,124,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,125,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,126,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,127,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,128,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,129,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0.00,130,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,131,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0.00,132,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0.00,133,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,134,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,135,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,136,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,137,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0.00,138,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,139,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,140,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0.00,141,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,142,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,143,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,144,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,145,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0.00,146,0.28,0.37,0.00,0.20,0.24,0.48,0.56,0.53,38,,
,,,,0:00,0,147,0.28,0.37,0.00,0.20,0.24,0.48,0.56,,38,,
,,,,0:00,0,148,0.28,0.37,0.00,0.20,0.24,0.48,0.56,,38,,
,,,,0:00,0,149,0.28,0.37,0.00,0.20,0.24,0.48,0.56,,38,,
,,,,0:00,0.00,150,0.28,0.37,0.00,0.20,0.24,0.48,0.56,,38,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0.00,,,,,,,,,,,,
,,,,0:00,0.00,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0.00,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0.00,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0.00,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0.00,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0.00,,,,,,,,,,,,
