Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,0.03333333333
Monday,DAY,8,/28,0:00,0.02,1,PHYS110,15,0:30:00,7:30:00,6:41:00,0:49:00,10.45%,PHYS110,1,1,0.02152777778
ENG301,"reading ""the crucible:"" introduction",20:21,21:01,0:40,0.00,2,HIST430,15,0:30:00,7:30:00,8:47:00,-1:17:00,13.73%,HIST430,1,2,0.08541666667
ENG301,"reading ""the crucible:"" from there to page 7",21:12,21:20,0:08,0,3,SOM11,15,0:30:00,7:30:00,0:00:00,7:30:00,0.00%,SOM11,1,3,0.08611111111
Tuesday,DAY,8,/29,0:00,0.08541666667,4,ENG301,15,0:30:00,7:30:00,4:50:00,2:40:00,7.56%,ENG301,2,4,0
BIO210,"submitting ""the problem""",20:00,20:03,0:03,0.00,5,MATH401,15,0:30:00,7:30:00,5:48:00,1:42:00,9.07%,MATH401,2,5,0
ENG301,watching the rest of the speech,20:04,20:13,0:09,0,6,BIO210,15,0:30:00,7:30:00,11:36:00,-4:06:00,18.14%,BIO210,2,6,0
MATH401,looking through projects & identifying new stuff,20:18,20:37,0:19,0,7,SPAN501,14,0:30:00,7:00:00,13:28:00,-6:28:00,21.06%,SPAN501,2,7,0.1916666667
Wednesday,DAY,8,/30,0:00,0.09,8,HIST301,14,0:30:00,7:00:00,12:47:00,-5:47:00,19.99%,HIST301,3,8,0.04513888889
HIST301,"reading ""1491"" article from the atlantic",7:28,8:04,0:36,0,,,,40:00:00,,,,,,3,9,0.1048611111
SPAN501,"leyendo ""instrucciones para ser feliz""",8:05,8:25,0:20,0.00,Totals:,,,,59:00:00,63:57:00,-4:57:00,100.00%,,3,10,0.11875
SPAN501,"leyendo ""instrucciones para ser feliz""",12:34,12:40,0:06,0,,,,,,,,,,3,11,0
SPAN501,"leyendo ""instrucciones para ser feliz""",19:55,20:00,0:05,0,,Day of Week:,Time:,,,,,,,3,12,0
SPAN501,"leyendo ""how to read literature""",20:02,20:28,0:26,0,,Monday,0.33,,,,,,,3,13,0.1833333333
HIST430,"reading ""why study religion"" and writing a response",20:29,20:59,0:30,0,,Tuesday,0.5229166667,,,,,,,3,14,0.07291666667
Thursday,DAY,8,/31,0:00,0.00,,Wednesday,0.58,,,,,,,4,15,0.09097222222
BIO210,figuring out big picture in dolly paper,9:14,9:55,0:41,0,,Thursday,0.01,,,,,,,4,16,0.1208333333
BIO210,writing up big picture in dolly paper,18:59,19:43,0:44,0.00,,Friday,0.1215277778,,,,,,,4,17,0.1368055556
PHYS110,"""measurements"" homework",19:49,20:28,0:39,0.00,,Saturday,0.61,,,,,,,4,18,0.01041666667
Friday,DAY,9,/1,0:00,0,,Sunday,0.4534722222,,,,,,,5,19,0.01597222222
Saturday,DAY,9,/2,0:00,0.00,,,,,,,,,,6,20,0.2152777778
Sunday,DAY,9,/3,0:00,0.1916666667,,,,,,,,,,7,21,0.05763888889
Monday,DAY,9,/4,0:00,0.04513888889,,,,,,,,,,8,22,0.06180555556
PHYS110,more measurement problems,12:58,13:40,0:42,0,,,,,,,,,,8,23,0.03472222222
ENG301,"reading ""the crucible:"" to act iii (also took notes)",13:49,15:06,1:17,0,,,,,,,,,,8,24,0.1229166667
HIST301,"reading ""people of the corn""",17:52,18:47,0:55,0,,,,,,,,,,8,25,0
SPAN501,"leyendo ""paris por la ventana""",19:13,19:55,0:42,0,,,,,,,,,,8,26,0
HIST430,"reading ""what is fundamentalism""",20:34,21:22,0:48,0.00,,,,,,,,,,8,27,0.09513888889
MATH401,"""practice on functions"" sheet",21:23,9:35 PM,0:12,0,The Week Ahead: (Schedule):,,,,,,,,,8,28,0.04236111111
Tuesday,DAY,9,/5,0:00,0.1048611111,Monday:,Science of Kale,Spanish,,English XVI,Sociology of Buns,Buns: Economics,,,9,29,0.07361111111
ENG301,"reading ""the crucible:"" to act iii",7:45 PM,8:33 PM,0:48,0,Tuesday:,How to draw like Micheal,Magic 101,,Spanish,History,Hypermodern art,,,9,30,0.1770833333
BIO210,marking things for kaitlyn,8:35 PM,8:52 PM,0:17,0,Wednesday:,Math 3 + 4i,Spanish,,SOM,Free Period!,Look Around You,,,9,31,0.1166666667
Wednesday,DAY,9,/6,0:00,0.12,Thursday:,Meditation,Free Period!,,Spanish,Dark Arts (Magic),Astrology,,,10,32,0
