Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,Homework This Day:
Monday,DAY,8,/28,0:00,0.01,1,PHYS110,15,0:30:00,7:30:00,3:51:00,3:39:00,6.06%,PHYS110,1,1,0.01
MATH301,Math Reading,8:00,8:20,0:20,0.00,2,ECON210,15,0:30:00,7:30:00,5:06:00,2:24:00,8.02%,ECON210,1,2,0.07
Tuesday,DAY,8,/29,0:00,0.07,3,HIST301,15,0:30:00,7:30:00,7:23:00,0:07:00,11.62%,HIST301,2,3,0.07
SPAN501,Reading (In English),6:54,7:07,0:13,0,4,PHIL250,15,0:30:00,7:30:00,8:14:00,-0:44:00,12.95%,PHIL250,2,4,0.04
SPAN501,Reading (In Spanish),0:00,0:10,0:10,0.00,5,MATH301,15,0:30:00,7:30:00,9:47:00,-2:17:00,15.39%,MATH301,2,5,0.00
ENG301,Crucible Reading - Intro,7:24,7:54,0:30,0,6,SOM,15,0:30:00,7:30:00,0:00:00,7:30:00,0.00%,SOM,2,6,0.06
ENG301,Crucible Reading - To Page 7,8:45,8:53,0:08,0,7,SPAN501,14,0:30:00,7:00:00,20:54:00,-13:54:00,32.88%,SPAN501,2,7,0.08
HIST301,Textbook pages 3-11,10:20,10:53,0:33,0.00,8,ENG301,14,0:30:00,7:00:00,8:19:00,-1:19:00,13.08%,ENG301,2,8,0.04
Wednesday,DAY,8,/30,0:00,0.07,9,QUEST,1,40:00:00,40:00:00,0:00:00,40:00:00,0.00%,QUEST,3,9,0.14
HIST301,Textbook pages 12-15,9:26,9:33,0:07,0.00,Totals:,,,,59:00:00,63:34:00,-4:34:00,100.00%,,3,10,0.09
PHIL250,Finishing More of Minsky Reading,6:39,7:04,0:25,0,,,,,,,,,,3,11,0.03
ECON210,Reading,7:30,7:49,0:19,0,,Day of Week:,Time:,,,,,,,3,12,0.00
ECON210,Written Response to Reading,8:55,9:10,0:15,0,,Monday,0.31,,,,,,,3,13,0.00
PHYS110,First Physics Homework!,9:45,10:18,0:33,0,,Tuesday,0.47,,,,,,,3,14,0.18
Thursday,DAY,8,/31,0:00,0.04,,Wednesday,0.41,,,,,,,4,15,0.04
HIST301,1491 Reading,8:58,9:21,0:23,0,,Thursday,0.32,,,,,,,4,16,0.07
HIST301,Megadeath In Mexico Reading,9:37,9:45,0:08,0.00,,Friday,0.05,,,,,,,4,17,0.05
SPAN501,Instrucciones para ser feliz (pp. 14-18),10:05,10:27,0:22,0.00,,Saturday,0.67,,,,,,,4,18,0.02
Friday,DAY,9,/1,0:00,0.00,,Sunday,0.42,,,,,,,5,19,0.05
Saturday,DAY,9,/2,0:00,0.06,,,,,,,,,,6,20,0.34
ECON210,"""Discounting Climate Change Damages"" Reading",10:10,10:31,0:21,0,,,,,,,,,,6,21,0.00
ECON210,"""Discounting Climate Change Damages"" Reading (Cont.)",11:00,11:23,0:23,0,,,,,,,,,,6,22,0.04
ECON210,"""A Review of the Stern Review..."" Reading",11:35,12:20,0:45,0,,,,,,,,,,6,23,0.05
Sunday,DAY,9,/3,0:00,0.08,,,,,,,,,,7,24,0.00
PHYS110,Some Graphing Buisness,11:40,12:03,0:23,0,,,,,,,,,,7,25,0.07
ENG301,Crucible Act One,12:34,13:29,0:55,0,,,,,,,,,,7,26,0.00
ENG301,Crucible Act Two,3:16,3:57,0:41,0.00,,,,,,,,,,7,27,0.08
Monday,DAY,9,/4,0:00,0.04,,,,,,,,,,8,28,0.03
