Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,Homework This Day:
Monday,DAY,8,/21,0:00,0.13,1,PHYS350,10,0:30:00,5:00:00,3:54:00,1:06:00,8.39%,PHYS350,1,1,0.13
QUEST,Writing Essay #1,15:00,18:00,3:00,0.00,2,HIST301,11,0:30:00,5:30:00,12:24:00,-6:54:00,26.67%,HIST301,1,2,0.02
Monday,DAY,8,/28,0:00,0.02,3,SOM11,11,0:30:00,5:30:00,0:05:00,5:25:00,0.18%,SOM11,2,3,0.01
ENG301,Read The Crucible,17:29,17:52,0:23,0,4,ENG301,11,0:30:00,5:30:00,6:32:00,-1:02:00,14.05%,ENG301,2,4,0.04
Tuesday,DAY,9,/29,0:00,0.01,5,CHIN301,10,0:30:00,5:00:00,5:32:00,-0:32:00,11.90%,CHIN301,3,5,0.06
BIO210,the problem,20:00,20:10,0:10,0,6,BIO210,10,0:30:00,5:00:00,10:03:00,-5:03:00,21.61%,BIO210,3,6,0.00
ENG301,Read The Crucible until page 7,20:12,20:23,0:11,0,7,CS301,9,0:30:00,4:30:00,4:20:00,0:10:00,9.32%,CS301,3,7,0.00
Wednesday,DAY,9,/30,0:00,0.04,8,MATH520,9,0:30:00,4:30:00,4:24:00,0:06:00,9.46%,MATH520,4,8,0.06
HIST301,History Textbook Reading,15:47,16:11,0:24,0,9,QUEST,1,40:00:00,40:00:00,3:10:00,36:50:00,6.81%,QUEST,4,9,0.05
HIST301,Reading 1491 (1/2),16:20,16:40,0:20,0.00,10,TEST,1,40:00:00,40:00:00,5:15:00,34:45:00,11.29%,,4,10,0.06
MATH520,Reviewing notes,16:56,17:10,0:14,0,Totals:,,,,75:30:00,46:30:00,29:00:00,100.00%,,4,11,0.09
Thursday,DAY,9,/31,0:00,0.06,,Day of Week:,Time:,,,,,,,5,12,0.14
PHYS350,Introductory Materials,17:21,17:38,0:17,0,,Monday,0.36,,,,,,,5,13,0.01
BIO210,The Dolly Big Picture,17:40,18:10,0:30,0,,Tuesday,0.29,,,,,,,5,14,0.08
ENG301,Reading The Crucible (Act 1 & 2),20:01,20:36,0:35,0.00,,Wednesday,0.13,,,,,,,5,15,0.05
Friday,DAY,9,/1,0:00,0.00,,Thursday,0.71,,,,,,,6,16,0.10
Saturday,DAY,9,/2,0:00,0.00,,Friday,0.01,,,,,,,7,17,0.11
Sunday,DAY,9,/3,0:00,0.06,,Saturday,0.23,,,,,,,8,18,0.00
ENG301,Reading The Crucible (Act 1 & 2),16:08,16:46,0:38,0,,Sunday,0.35,,,,,,,8,19,0.26
HIST301,Reading 1491,16:49,17:16,0:27,0.00,,,,,,,,,,8,20,0.16
PHYS350,Electrostatic Video and Notes,17:26,17:44,0:18,0,,,,,,,,,,8,21,0.08
Monday,DAY,9,/4,0:00,0.05,,,,,,,,,,9,22,0.25
MATH520,Install and activate Mathematica,11:28,11:42,0:14,0,,,,,,,,,,9,23,0.16
MATH520,Assignment #2,13:45,14:02,0:17,0,,,,,,,,,,9,24,0.24
PHYS350,Electrostatic Problem Set,14:20,14:40,0:20,0,,,,,,,,,,9,25,0.08
ENG301,Reviewing Annotations,15:40,15:59,0:19,0,,,,,,,,,,9,26,0.10
Tuesday,DAY,9,/5,0:00,0.06,,,,,,,,,,10,27,0.00
PHYS350,Electrostatic Problem Set,19:00,19:40,0:40,0,The Week Ahead: (Schedule):,,,,,,,,,10,28,0.00
CS301,Project,19:47,20:30,0:43,0,Monday:,Science of Kale,Spanish,,English XVI,Sociology of Buns,Buns: Economics,,,10,29,0.00
Wednesday,DAY,9,/6,0:00,0.09,Tuesday:,How to draw like Micheal,Magic 101,,Spanish,History,Hypermodern art,,,11,30,0.00
MATH520,Assignment #2,17:32,17:42,0:10,0,Wednesday:,Math 3 + 4i,Spanish,,SOM,Free Period!,Look Around You,,,11,31,0.00
HIST301,Columbian Exchange MiniProject,19:15,20:30,1:15,0.00,Thursday:,Meditation,Free Period!,,Spanish,Dark Arts (Magic),Astrology,,,11,32,0.00
CHIN301,L13D1,17:10,17:30,0:20,0,Friday:,Spanish,Water,,More Water!,MOAR WATER!,Physics,,,11,33,0.00
CS301,Project,17:50,18:05,0:15,0,,,,,,,,,,11,34,0.00
QUEST,Looking for mentors,20:32,20:42,0:10,0,"TODO: Write 50 more essays, cry, repeat",,,,,,,,,11,35,0.00
Thursday,DAY,9,/7,0:00,0.14,,,,,,,,,,12,36,0.00
MATH520,Assignment #2,8:10,9:00,0:50,0.00,,,,,,,,,,12,37,0.00
BIO210,Stem Cell Research,9:10,9:40,0:30,0,,,,,,,,,,12,38,0.00
CHIN301,L13D1,9:40,9:49,0:09,0,,,,,,,,,,12,39,0.00
HIST301,Reviewing notes,17:35,17:47,0:12,0,,,,,,,,,,12,40,0.00
PHYS350,Harder Questions in Electric Field,19:02,20:10,1:08,0.00,,,,,,,,,,12,41,0.00
CHIN301,L13D1,20:10,20:45,0:35,0.00,,,,,,,,,,12,42,0.00
Friday,DAY,9,/8,0:00,0.01,,,,,,,,,,13,43,0.00
CHIN301,L13D1,17:20,17:40,0:20,0.00,,,,,,,,,,13,44,0.00
Saturday,DAY,9,/9,0:00,0.08,,,,,,,,,,14,45,0.00
ENG301,Reading the Crucible (Act 3 & 4),12:09,13:30,1:21,0,,,,,,,,,,14,46,0.00
CHIN301,L13D2,13:50,14:17,0:27,0,,,,,,,,,,14,47,0.00
Sunday,DAY,9,/10,0:00,0.05,,,,,,,,,,15,48,0.00
PHYS350,Reading Phet,15:05,15:17,0:12,0,,,,,,,,,,15,49,0.00
CHIN301,L13D2,15:27,15:38,0:11,0,,,,,,,,,,15,50,0.00
BIO210,Reading STEM Cells #3,15:57,16:15,0:18,0,,,,,,,,,,15,51,0.00
BIO210,Reading the Dolly Paper,16:15,16:42,0:27,0,,,,,,,,,,15,52,0.00
Monday,DAY,9,/11,0:00,0.10,,,,,,,,,,16,53,0.00
SOM11,5 mins of Observation,7:47,7:52,0:05,0,,,,,,,,,,16,54,0.00
CS301,Project,20:00,21:10,1:10,0,,,,,,,,,,16,55,0.00
HIST301,Rewritting notes,20:15,20:38,0:23,0,,,,,,,,,,16,56,0.00
HIST301,Textbook Readings,20:40,21:00,0:20,0,,,,,,,,,,16,57,0.00
MATH520,Assignment #3,21:10,21:30,0:20,0,Hello. The black stuff down and right is generating those nice graphs. Please don't edit it if you like them!,,,,,,,,,16,58,0.00
Tuesday,DAY,9,/12,0:00,0.11,Day:,PHYS350,HIST301,SOM11,ENG301,CHIN301,BIO210,CS301,MATH520,17,59,0.00
MATH520,Assignment #3,9:50,10:47,0:57,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17,60,0.00
ENG301,Finish the Crucible and Annotate,16:45,17:05,0:20,0,2,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,17,61,0.00
BIO210,Reading the Dolly Paper,17:10,17:36,0:26,0,3,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,17,62,0.00
CHIN301,L13D2,17:45,18:10,0:25,0.00,4,0.00,0.03,0.00,0.02,0.00,0.01,0.00,0.01,17,63,0.00
BIO210,Reading STEM Cells #4,18:12,18:31,0:19,0,5,0.01,0.03,0.00,0.05,0.00,0.03,0.00,0.01,17,64,0.00
